NOC,Sport,Event,TotalMedals,GoldMedals,SportEvent,rank
LAT,Cycling,Cycling Men's BMX,2,2,Cycling - Cycling Men's BMX,2
LAT,Athletics,Athletics Men's Javelin Throw,1,0,Athletics - Athletics Men's Javelin Throw,3
LCA,Athletics,Women's 100m,1,1,Athletics - Women's 100m,1
LCA,Athletics,Women's 200m,1,0,Athletics - Women's 200m,2
LTU,Modern Pentathlon,Modern Pentathlon Women's Individual,1,1,Modern Pentathlon - Modern Pentathlon Women's Individual,1
LTU,Swimming,Swimming Women's 100 metres Breaststroke,1,1,Swimming - Swimming Women's 100 metres Breaststroke,2
LTU,Athletics,Athletics Men's Discus Throw,1,0,Athletics - Athletics Men's Discus Throw,3
MAR,Athletics,Men's 3000m Steeplechase,2,2,Athletics - Men's 3000m Steeplechase,1
MAR,Athletics,Athletics Women's 800 metres,1,0,Athletics - Athletics Women's 800 metres,2
MAR,Athletics,Athletics Men's Marathon,1,0,Athletics - Athletics Men's Marathon,3
MAS,Cycling,Cycling Men's Keirin,1,0,Cycling - Cycling Men's Keirin,1
MAS,Badminton,Badminton Mixed Doubles,2,0,Badminton - Badminton Mixed Doubles,2
MAS,Diving,Diving Women's Synchronized Platform,2,0,Diving - Diving Women's Synchronized Platform,3
MDA,Weightlifting,Weightlifting Men's Middle-Heavyweight,1,0,Weightlifting - Weightlifting Men's Middle-Heavyweight,1
MDA,Boxing,Boxing Men's Bantamweight,1,0,Boxing - Boxing Men's Bantamweight,2
MDA,Weightlifting,Weightlifting Women's Featherweight,1,0,Weightlifting - Weightlifting Women's Featherweight,3
MEX,Football,Football Men's Football,16,16,Football - Football Men's Football,1
MEX,Taekwondo,Taekwondo Women's Heavyweight,3,1,Taekwondo - Taekwondo Women's Heavyweight,2
MEX,Taekwondo,Taekwondo Men's Flyweight,1,1,Taekwondo - Taekwondo Men's Flyweight,3
MGL,Boxing,Boxing Men's Bantamweight,1,1,Boxing - Boxing Men's Bantamweight,1
MGL,Judo,Judo Men's Half-Heavyweight,2,1,Judo - Judo Men's Half-Heavyweight,2
MGL,Boxing,Boxing Men's Lightweight,1,0,Boxing - Boxing Men's Lightweight,3
MKD,Taekwondo,Men +80kg,1,0,Taekwondo - Men +80kg,1
MNE,Handball,Handball Women's Handball,14,0,Handball - Handball Women's Handball,1
MRI,Boxing,Boxing Men's Bantamweight,1,0,Boxing - Boxing Men's Bantamweight,1
NAM,Athletics,Women's 200m,1,0,Athletics - Women's 200m,1
NED,Hockey,Hockey Women's Hockey,48,32,Hockey - Hockey Women's Hockey,1
NED,Hockey,Women Team,18,18,Hockey - Women Team,2
NED,Hockey,Men,18,18,Hockey - Men,3
NGR,Football,Football Men's Football,34,0,Football - Football Men's Football,1
NGR,Taekwondo,Taekwondo Men's Heavyweight,1,0,Taekwondo - Taekwondo Men's Heavyweight,2
NGR,Athletics,Athletics Women's 4 x 100 metres Relay,5,0,Athletics - Athletics Women's 4 x 100 metres Relay,3
NIG,Taekwondo,Taekwondo Men's Heavyweight,1,0,Taekwondo - Taekwondo Men's Heavyweight,1
NOR,Handball,Handball Women's Handball,42,28,Handball - Handball Women's Handball,1
NOR,Handball,Women,15,15,Handball - Women,2
NOR,Beach Volleyball,Men Team,2,2,Beach Volleyball - Men Team,3
NZL,Rugby Sevens,Women Team,13,13,Rugby Sevens - Women Team,1
NZL,Rugby Sevens,Women,12,12,Rugby Sevens - Women,2
NZL,Rowing,Men's Eight Team,9,9,Rowing - Men's Eight Team,3
PAK,Athletics,Men's Javelin Throw,1,1,Athletics - Men's Javelin Throw,1
PAN,Athletics,Athletics Men's Long Jump,1,1,Athletics - Athletics Men's Long Jump,1
